scope,threshold_a,threshold_b,n_windows,n_comparable,exact_agreement_pct,within_1_dimension_pct,within_2_dimensions_pct,median_abs_delta_m,iqr_abs_delta_m,newly_found_n,newly_found_pct
Overall,1.0,2.0,2942,1404,16.31054131054131,63.39031339031339,85.32763532763533,1.0,1.0,870,29.57171991842284
Overall,1.0,3.0,2942,1404,6.623931623931624,45.2991452991453,74.57264957264957,2.0,2.0,1333,45.309313392250175
Overall,1.0,4.0,2942,1404,3.49002849002849,36.039886039886035,69.44444444444444,2.0,2.0,1512,51.39360978925901
Overall,1.0,5.0,2942,1404,1.7806267806267806,30.698005698005698,66.5954415954416,2.0,2.0,1537,52.24337185588035
Overall,2.0,3.0,2942,2274,44.19525065963061,88.83025505716799,95.82233948988566,1.0,1.0,463,15.737593473827328
Overall,3.0,4.0,2942,2737,58.53123858238948,91.85239313116551,96.49251004749726,0.0,1.0,179,6.0842963970088375
Overall,4.0,5.0,2942,2916,76.13168724279835,96.50205761316872,98.73113854595336,0.0,0.0,25,0.849762066621346
Raw,1.0,2.0,1398,329,16.109422492401215,61.39817629179332,82.67477203647417,1.0,1.0,430,30.758226037195996
Raw,1.0,3.0,1398,329,6.382978723404255,43.76899696048632,72.94832826747721,2.0,2.0,864,61.80257510729614
Raw,1.0,4.0,1398,329,2.127659574468085,32.52279635258359,66.26139817629179,2.0,2.0,1043,74.6065808297568
Raw,1.0,5.0,1398,329,1.5197568389057752,29.17933130699088,62.00607902735562,2.0,2.0,1068,76.39484978540773
Raw,2.0,3.0,1398,759,32.674571805006586,77.33860342555995,90.25032938076416,1.0,1.0,434,31.04434907010014
Raw,3.0,4.0,1398,1193,39.48030176026823,81.97820620284996,91.95305951383068,1.0,1.0,179,12.804005722460657
Raw,4.0,5.0,1398,1372,63.26530612244898,92.56559766763849,97.30320699708454,0.0,1.0,25,1.7882689556509301
Processed,1.0,2.0,1544,1075,16.37209302325581,64.0,86.13953488372093,1.0,1.0,440,28.497409326424872
Processed,1.0,3.0,1544,1075,6.6976744186046515,45.76744186046512,75.06976744186046,2.0,1.0,469,30.375647668393785
Processed,1.0,4.0,1544,1075,3.9069767441860463,37.116279069767444,70.41860465116278,2.0,2.0,469,30.375647668393785
Processed,1.0,5.0,1544,1075,1.8604651162790697,31.16279069767442,68.0,2.0,2.0,469,30.375647668393785
Processed,2.0,3.0,1544,1515,49.96699669966997,94.58745874587459,98.61386138613861,1.0,1.0,29,1.878238341968912
Processed,3.0,4.0,1544,1544,73.25129533678756,99.48186528497409,100.0,0.0,1.0,0,0.0
Processed,4.0,5.0,1544,1544,87.56476683937824,100.0,100.0,0.0,0.0,0,0.0
